lemma,language_code,status
ability,en,PENDING
absolute,en,PENDING
academic,en,PENDING
access,en,PENDING
according to,en,PENDING
account,en,PENDING
acquire,en,PENDING
actio,en,PENDING
active,en,PENDING
activity,en,PENDING
actually,en,PENDING
adapt,en,PENDING
add,en,PENDING
adult,en,PENDING
advantage,en,PENDING
affect,en,PENDING
agai,en,PENDING
aim,en,PENDING
almost,en,PENDING
already,en,PENDING
also,en,PENDING
although,en,PENDING
amount,en,PENDING
analyse,en,PENDING
analysis,en,PENDING
answer,en,PENDING
appear,en,PENDING
apply,en,PENDING
approach,en,PENDING
area,en,PENDING
argue,en,PENDING
argument,en,PENDING
arise,en,PENDING
article,en,PENDING
aspect,en,PENDING
associated,en,PENDING
assume,en,PENDING
assumptio,en,PENDING
attack,en,PENDING
attempt,en,PENDING
attentio,en,PENDING
attitude,en,PENDING
author,en,PENDING
average,en,PENDING
avoid,en,PENDING
background,en,PENDING
balance,en,PENDING
barrier,en,PENDING
based,en,PENDING
basic,en,PENDING
basically,en,PENDING
basis,en,PENDING
because,en,PENDING
become linking,en,PENDING
begi,en,PENDING
beginning,en,PENDING
behave,en,PENDING
behaviour,en,PENDING
benefit,en,PENDING
betwee,en,PENDING
beyond,en,PENDING
body,en,PENDING
briefly,en,PENDING
broad,en,PENDING
call,en,PENDING
can,en,PENDING
capacity,en,PENDING
care,en,PENDING
case,en,PENDING
category,en,PENDING
cause,en,PENDING
central,en,PENDING
centre,en,PENDING
certai,en,PENDING
chai,en,PENDING
change,en,PENDING
characteristic,en,PENDING
choice,en,PENDING
choose,en,PENDING
circumstance,en,PENDING
claim,en,PENDING
class,en,PENDING
classic,en,PENDING
classical,en,PENDING
clear,en,PENDING
clearly,en,PENDING
closely,en,PENDING
code,en,PENDING
colum,en,PENDING
combinatio,en,PENDING
combine,en,PENDING
commo,en,PENDING
communicatio,en,PENDING
community,en,PENDING
compare,en,PENDING
completely,en,PENDING
complex,en,PENDING
component,en,PENDING
concentrate,en,PENDING
concept,en,PENDING
concer,en,PENDING
conclude,en,PENDING
conclusio,en,PENDING
conditio,en,PENDING
conflict,en,PENDING
consequence,en,PENDING
consider,en,PENDING
construct,en,PENDING
contai,en,PENDING
contemporary,en,PENDING
content,en,PENDING
context,en,PENDING
contrast,en,PENDING
control,en,PENDING
correspond,en,PENDING
country,en,PENDING
course,en,PENDING
create,en,PENDING
critical,en,PENDING
crucial,en,PENDING
cultural,en,PENDING
culture,en,PENDING
cycle,en,PENDING
data,en,PENDING
deal,en,PENDING
decisio,en,PENDING
decline,en,PENDING
define,en,PENDING
definitio,en,PENDING
degree,en,PENDING
demand,en,PENDING
department,en,PENDING
depend,en,PENDING
derive,en,PENDING
describe,en,PENDING
descriptio,en,PENDING
desig,en,PENDING
destroy,en,PENDING
detail,en,PENDING
determine,en,PENDING
develop,en,PENDING
developed,en,PENDING
development,en,PENDING
diagram,en,PENDING
differ,en,PENDING
difference,en,PENDING
different,en,PENDING
difficult,en,PENDING
dimensio,en,PENDING
direct,en,PENDING
directio,en,PENDING
directly,en,PENDING
discover,en,PENDING
discuss,en,PENDING
discussio,en,PENDING
distinct,en,PENDING
distinctio,en,PENDING
distinguish,en,PENDING
divide,en,PENDING
draw,en,PENDING
duty,en,PENDING
early,en,PENDING
easily,en,PENDING
economic,en,PENDING
effect,en,PENDING
effective,en,PENDING
effectively,en,PENDING
element,en,PENDING
emerge,en,PENDING
emphasis,en,PENDING
emphasize,en,PENDING
end,en,PENDING
enter,en,PENDING
entirely,en,PENDING
entry,en,PENDING
environment,en,PENDING
environmental,en,PENDING
equal,en,PENDING
equivalent,en,PENDING
error,en,PENDING
essential,en,PENDING
essentially,en,PENDING
establish,en,PENDING
event,en,PENDING
evidence,en,PENDING
exactly,en,PENDING
exam,en,PENDING
example,en,PENDING
exchange,en,PENDING
exist,en,PENDING
existence,en,PENDING
experience,en,PENDING
experiment,en,PENDING
experimental,en,PENDING
expert,en,PENDING
explai,en,PENDING
explanatio,en,PENDING
explore,en,PENDING
expressio,en,PENDING
extent,en,PENDING
external,en,PENDING
extreme,en,PENDING
extremely,en,PENDING
fact,en,PENDING
factor,en,PENDING
fail,en,PENDING
failure,en,PENDING
fairly,en,PENDING
familiar,en,PENDING
famous,en,PENDING
feature,en,PENDING
female,en,PENDING
final,en,PENDING
finally,en,PENDING
find,en,PENDING
flow,en,PENDING
focus,en,PENDING
following,en,PENDING
force,en,PENDING
foreig,en,PENDING
form,en,PENDING
formal,en,PENDING
framework,en,PENDING
free,en,PENDING
functio,en,PENDING
fundamental,en,PENDING
gai,en,PENDING
gender,en,PENDING
general,en,PENDING
generally,en,PENDING
generate,en,PENDING
generatio,en,PENDING
give,en,PENDING
global,en,PENDING
group,en,PENDING
grow,en,PENDING
growth,en,PENDING
guess,en,PENDING
handout,en,PENDING
happe,en,PENDING
hence,en,PENDING
here,en,PENDING
high,en,PENDING
highly,en,PENDING
history,en,PENDING
hopefully,en,PENDING
however,en,PENDING
huge,en,PENDING
huma,en,PENDING
hypothesis,en,PENDING
idea,en,PENDING
identify,en,PENDING
identity,en,PENDING
illustrate,en,PENDING
image,en,PENDING
impact,en,PENDING
imply,en,PENDING
importance,en,PENDING
important,en,PENDING
increase,en,PENDING
increasingly,en,PENDING
indeed,en,PENDING
individual,en,PENDING
influence,en,PENDING
informatio,en,PENDING
initial,en,PENDING
input,en,PENDING
instance,en,PENDING
interact,en,PENDING
interactio,en,PENDING
interest,en,PENDING
interested,en,PENDING
interesting,en,PENDING
intermediate,en,PENDING
internal,en,PENDING
international,en,PENDING
interpret,en,PENDING
interpretatio,en,PENDING
introduce,en,PENDING
introductio,en,PENDING
invent,en,PENDING
involve,en,PENDING
involved,en,PENDING
issue,en,PENDING
journal,en,PENDING
judgement,en,PENDING
key,en,PENDING
kind,en,PENDING
knowledge,en,PENDING
label,en,PENDING
language,en,PENDING
large,en,PENDING
largely,en,PENDING
later,en,PENDING
law,en,PENDING
lead,en,PENDING
lear,en,PENDING
learning,en,PENDING
