lemma,language_code,status
a bit more,en,PENDING
a bit of a…,en,PENDING
a bit of sth,en,PENDING
a bit,en,PENDING
a couple of sth,en,PENDING
a few,en,PENDING
a good idea,en,PENDING
a great deal,en,PENDING
a kind of,en,PENDING
a little bit,en,PENDING
a little more,en,PENDING
a little,en,PENDING
a long time ago,en,PENDING
a long way,en,PENDING
a lot more,en,PENDING
a lot of sth,en,PENDING
a lot,en,PENDING
a means of sth,en,PENDING
a number of sth,en,PENDING
a period of time,en,PENDING
a range of sth,en,PENDING
a variety of sth,en,PENDING
able to do sth,en,PENDING
above all,en,PENDING
access to sth,en,PENDING
account for sth,en,PENDING
accused of sth,en,PENDING
act as sth,en,PENDING
add to sth,en,PENDING
after all,en,PENDING
again and again,en,PENDING
agree with sb,en,PENDING
aim to do sth,en,PENDING
aimed at doing sth,en,PENDING
aimed at sb,en,PENDING
all about…,en,PENDING
all but,en,PENDING
all day,en,PENDING
all kinds of…,en,PENDING
all over the world,en,PENDING
all over…,en,PENDING
all sorts of…,en,PENDING
all the more,en,PENDING
all the time,en,PENDING
all the way,en,PENDING
along with sb,en,PENDING
along with sth,en,PENDING
alternative to sth,en,PENDING
and so on,en,PENDING
anything else,en,PENDING
apart from,en,PENDING
appeal to sb,en,PENDING
apply for sth,en,PENDING
apply to sb,en,PENDING
apply to sth,en,PENDING
around the world,en,PENDING
arrive at…,en,PENDING
arrive in…,en,PENDING
art gallery,en,PENDING
as a result,en,PENDING
as a whole,en,PENDING
as far as i am concerned,en,PENDING
as far as sb is concerned,en,PENDING
as far as sth is concerned,en,PENDING
as follows…,en,PENDING
as for sb,en,PENDING
as for sth,en,PENDING
as if…,en,PENDING
as long as…,en,PENDING
as much as,en,PENDING
as of…,en,PENDING
as opposed to,en,PENDING
as part of sth,en,PENDING
as soon as possible,en,PENDING
as soon as,en,PENDING
as such,en,PENDING
as though…,en,PENDING
as to,en,PENDING
as well,en,PENDING
ask for sth,en,PENDING
associated with sth,en,PENDING
at first,en,PENDING
at home,en,PENDING
at last,en,PENDING
at least,en,PENDING
at once,en,PENDING
at present,en,PENDING
at risk,en,PENDING
at school,en,PENDING
at some point,en,PENDING
at the age of…,en,PENDING
at the beginning of sth,en,PENDING
at the end of sth,en,PENDING
at the end of the day,en,PENDING
at the end,en,PENDING
at the expense of sb,en,PENDING
at the expense of sth,en,PENDING
at the hands of sb,en,PENDING
at the moment,en,PENDING
at the same time,en,PENDING
at the start of sth,en,PENDING
at the time of sth,en,PENDING
at the time,en,PENDING
at the top,en,PENDING
at the weekend,en,PENDING
at this point,en,PENDING
at this stage,en,PENDING
at times,en,PENDING
at university,en,PENDING
at work,en,PENDING
attached to sb,en,PENDING
attached to sth,en,PENDING
awareness of sth,en,PENDING
away from sb,en,PENDING
away from sth,en,PENDING
back and forth,en,PENDING
back sb up,en,PENDING
back sth up,en,PENDING
bad for sb,en,PENDING
bad for sth,en,PENDING
bad news,en,PENDING
bad thing,en,PENDING
based on sth,en,PENDING
be about to do sth,en,PENDING
be allowed to do sth,en,PENDING
be attributed to sb,en,PENDING
be charged with sth,en,PENDING
be derived from sth,en,PENDING
be entitled to sth,en,PENDING
be expected to do sth,en,PENDING
be found to do sth,en,PENDING
be going on,en,PENDING
be going to do sth,en,PENDING
be known as sb,en,PENDING
be known as sth,en,PENDING
be known to do sth,en,PENDING
be made of sth,en,PENDING
be made up of sth,en,PENDING
be meant to do sth,en,PENDING
be reported to be sth,en,PENDING
be said to be sth,en,PENDING
be supposed to do sth,en,PENDING
be surrounded by sb,en,PENDING
be surrounded by sth,en,PENDING
be to blame,en,PENDING
bear sb in mind,en,PENDING
bear sth in mind,en,PENDING
because of,en,PENDING
begin with sth,en,PENDING
believe in sb,en,PENDING
believe in sth,en,PENDING
belong to sb,en,PENDING
belong to sth,en,PENDING
benefit from sth,en,PENDING
best friend,en,PENDING
black and white,en,PENDING
both sides,en,PENDING
bound to do sth,en,PENDING
break up,en,PENDING
bring sb up,en,PENDING
bring sth about,en,PENDING
bring sth up,en,PENDING
by means of sth,en,PENDING
by no means,en,PENDING
by the end of sth,en,PENDING
by the time that…,en,PENDING
by the time …,en,PENDING
call for sth,en,PENDING
call on sb,en,PENDING
cant afford sth,en,PENDING
car park,en,PENDING
care about sth,en,PENDING
care for sb,en,PENDING
carry on,en,PENDING
carry sth out,en,PENDING
case study,en,PENDING
caused by sth,en,PENDING
cell phone,en,PENDING
check in,en,PENDING
check out,en,PENDING
check sb out,en,PENDING
check sth out,en,PENDING
choose to do sth,en,PENDING
city centre,en,PENDING
clean up,en,PENDING
click on sth,en,PENDING
climate change,en,PENDING
close to sb,en,PENDING
close to sth,en,PENDING
come across sb,en,PENDING
come across sth,en,PENDING
come back,en,PENDING
come from…,en,PENDING
come into sth,en,PENDING
come on!,en,PENDING
come true,en,PENDING
come up with sth,en,PENDING
compared with sth,en,PENDING
concentrate on sth,en,PENDING
concerned about sth,en,PENDING
concerned with sth,en,PENDING
confidence in sb,en,PENDING
confidence in sth,en,PENDING
connected to sth,en,PENDING
connected with sb,en,PENDING
connected with sth,en,PENDING
consist of sb,en,PENDING
consist of sth,en,PENDING
consistent with sth,en,PENDING
contribute to sth,en,PENDING
control over sb,en,PENDING
control over sth,en,PENDING
cope with sth,en,PENDING
credit card,en,PENDING
deal with sb,en,PENDING
deal with sth,en,PENDING
decide on sth,en,PENDING
decline in sth,en,PENDING
dedicated to sth,en,PENDING
depend on sb,en,PENDING
depend on sth,en,PENDING
dependent on sb,en,PENDING
dependent on sth,en,PENDING
depending on,en,PENDING
deprive sb of sth,en,PENDING
deprive sth of sth,en,PENDING
despite the fact that…,en,PENDING
developing countries,en,PENDING
differences between a and b,en,PENDING
difficult for sb,en,PENDING
dispose of sb,en,PENDING
dispose of sth,en,PENDING
do well,en,PENDING
draw attention to sb,en,PENDING
draw attention to sth,en,PENDING
due to sb,en,PENDING
due to sth,en,PENDING
each one,en,PENDING
each other,en,PENDING
economic growth,en,PENDING
end in sth,en,PENDING
end up,en,PENDING
end with sth,en,PENDING
engage in sth,en,PENDING
engaged in sth,en,PENDING
even if,en,PENDING
even more…,en,PENDING
even though,en,PENDING
ever since,en,PENDING
every day,en,PENDING
everyone else,en,PENDING
exactly the same,en,PENDING
except for,en,PENDING
excuse me,en,PENDING
experience in sth,en,PENDING
exposure to sth,en,PENDING
fail to do sth,en,PENDING
fall asleep,en,PENDING
fall in love,en,PENDING
fall off,en,PENDING
family member,en,PENDING
far away,en,PENDING
far from sth,en,PENDING
far more,en,PENDING
far too,en,PENDING
fed up,en,PENDING
feel good,en,PENDING
feel like sth,en,PENDING
figure sb out,en,PENDING
figure sth out,en,PENDING
fill sth in,en,PENDING
find it difficult to do sth,en,PENDING
find out,en,PENDING
find yourself doing sth,en,PENDING
first of all,en,PENDING
focus on sb,en,PENDING
focus on sth,en,PENDING
follow sth up,en,PENDING
followed by sb,en,PENDING
followed by sth,en,PENDING
for a long time,en,PENDING
for a moment,en,PENDING
for a while,en,PENDING
for example,en,PENDING
for free,en,PENDING
for instance,en,PENDING
for life,en,PENDING
for long,en,PENDING
for lunch,en,PENDING
for many years,en,PENDING
for some time,en,PENDING
for that matter,en,PENDING
for the benefit of sb,en,PENDING
for the first time,en,PENDING
for the rest of sth,en,PENDING
for the sake of sb,en,PENDING
for the sake of sth,en,PENDING
for this reason,en,PENDING
get away with sth,en,PENDING
get back,en,PENDING
get better,en,PENDING
get home,en,PENDING
get in,en,PENDING
get lost,en,PENDING
get married,en,PENDING
get off,en,PENDING
get on with sb,en,PENDING
get on,en,PENDING
get out,en,PENDING
get over sb,en,PENDING
get over sth,en,PENDING
get ready,en,PENDING
get rid of sb,en,PENDING
get rid of sth,en,PENDING
get there,en,PENDING
get to know sb,en,PENDING
get to…,en,PENDING
get up,en,PENDING
get used to sth,en,PENDING
give sth up,en,PENDING
give up,en,PENDING
given that…,en,PENDING
global warming,en,PENDING
go ahead,en,PENDING
go and…,en,PENDING
go away,en,PENDING
go back,en,PENDING
go down sth,en,PENDING
go down,en,PENDING
go for sth,en,PENDING
go home,en,PENDING
go into sth,en,PENDING
go off,en,PENDING
go on to do sth,en,PENDING
go out,en,PENDING
go through sth,en,PENDING
go to bed,en,PENDING
go to school,en,PENDING
go to work,en,PENDING
go up,en,PENDING
go wrong,en,PENDING
good at sth,en,PENDING
good for sb,en,PENDING
good for sth,en,PENDING
good luck,en,PENDING
good morning,en,PENDING
good news,en,PENDING
good thing,en,PENDING
grow up,en,PENDING
growth in sth,en,PENDING
guess what…,en,PENDING
had better,en,PENDING
half an hour,en,PENDING
hang on,en,PENDING
happen to sb,en,PENDING
happen to sth,en,PENDING
happy with sb,en,PENDING
happy with sth,en,PENDING
hard work,en,PENDING
have a look,en,PENDING
have fun,en,PENDING
have got to,en,PENDING
have got,en,PENDING
have no idea,en,PENDING
have nothing to do with sb,en,PENDING
have nothing to do with sth,en,PENDING
have sb in mind,en,PENDING
have sth in common,en,PENDING
have sth in mind,en,PENDING
have time,en,PENDING
have you ever…?,en,PENDING
he or she,en,PENDING
health problems,en,PENDING
hear about sb,en,PENDING
hear about sth,en,PENDING
hear of sb,en,PENDING
hear of sth,en,PENDING
heart disease,en,PENDING
high school,en,PENDING
high street,en,PENDING
higher education,en,PENDING
his or her,en,PENDING
how about…?,en,PENDING
how are you?,en,PENDING
how long…?,en,PENDING
how many…?,en,PENDING
how much…?,en,PENDING
how often…?,en,PENDING
human being,en,PENDING
human rights,en,PENDING
i dont care,en,PENDING
i guess,en,PENDING
i have to say…,en,PENDING
i mean,en,PENDING
i think so,en,PENDING
i wonder if…,en,PENDING
i would say…,en,PENDING
if i were you,en,PENDING
if necessary,en,PENDING
if only…,en,PENDING
if you want to,en,PENDING
im afraid…,en,PENDING
im sorry,en,PENDING
important for sb,en,PENDING
important for sth,en,PENDING
in a position to do sth,en,PENDING
in a way that…,en,PENDING
in accordance with sth,en,PENDING
in action,en,PENDING
in addition,en,PENDING
in advance,en,PENDING
in an attempt to do sth,en,PENDING
in any case,en,PENDING
in april,en,PENDING
in bed,en,PENDING
in business,en,PENDING
in case…,en,PENDING
in charge of sb,en,PENDING
in charge of sth,en,PENDING
in class,en,PENDING
in conjunction with sb,en,PENDING
in conjunction with sth,en,PENDING
in connection with sb,en,PENDING
in connection with sth,en,PENDING
in contrast,en,PENDING
in danger,en,PENDING
in effect,en,PENDING
in fact,en,PENDING
in favour of sb,en,PENDING
in favour of sth,en,PENDING
in front of,en,PENDING
in full,en,PENDING
in general,en,PENDING
in history,en,PENDING
in hospital,en,PENDING
in line with sth,en,PENDING
in love,en,PENDING
in my opinion,en,PENDING
in order of sth,en,PENDING
in order to do sth,en,PENDING
in other words,en,PENDING
in part,en,PENDING
in particular,en,PENDING
in place,en,PENDING
in practice,en,PENDING
in prison,en,PENDING
in public,en,PENDING
in recent years,en,PENDING
in relation to sb,en,PENDING
in relation to sth,en,PENDING
in respect of sth,en,PENDING
in response to sth,en,PENDING
in school,en,PENDING
in some cases,en,PENDING
in some way,en,PENDING
in some ways,en,PENDING
in spite of sth,en,PENDING
in such a way that…,en,PENDING
in such a way …,en,PENDING
in summer,en,PENDING
in terms of sth,en,PENDING
in the absence of sb,en,PENDING
in the absence of sth,en,PENDING
in the air,en,PENDING
in the case of sth,en,PENDING
in the centre,en,PENDING
in the country,en,PENDING
in the course of…,en,PENDING
in the end,en,PENDING
in the event of sth,en,PENDING
in the face of sth,en,PENDING
in the first place,en,PENDING
in the form of sb,en,PENDING
in the form of sth,en,PENDING
in the future,en,PENDING
in the hands of sb,en,PENDING
in the light of sth,en,PENDING
in the meantime,en,PENDING
in the middle,en,PENDING
in the midst of sth,en,PENDING
in the morning,en,PENDING
in the near future,en,PENDING
in the north,en,PENDING
in the past,en,PENDING
in the presence of sb,en,PENDING
in the same way,en,PENDING
in the street,en,PENDING
in the summer,en,PENDING
in the wake of sb,en,PENDING
in the wake of sth,en,PENDING
in the way that…,en,PENDING
in the way …,en,PENDING
in this case,en,PENDING
in this way,en,PENDING
in time,en,PENDING
in touch,en,PENDING
in town,en,PENDING
in turn,en,PENDING
instead of,en,PENDING
investment in sth,en,PENDING
involvement in sth,en,PENDING
it depends,en,PENDING
it is important to do sth,en,PENDING
it takes …,en,PENDING
kind of sb,en,PENDING
kind of sth,en,PENDING
know how,en,PENDING
last time,en,PENDING
last year,en,PENDING
lead to sth,en,PENDING
learn how to do sth,en,PENDING
leave sb out,en,PENDING
leave sth out,en,PENDING
less than…,en,PENDING
let alone,en,PENDING
let me know,en,PENDING
let me…,en,PENDING
likely to do sth,en,PENDING
listen to sb,en,PENDING
listen to sth,en,PENDING
little more than…,en,PENDING
live on sth,en,PENDING
live with sb,en,PENDING
living room,en,PENDING
loads of sb,en,PENDING
loads of sth,en,PENDING
look after sb,en,PENDING
look after sth,en,PENDING
look after yourself,en,PENDING
look at sb,en,PENDING
look at sth,en,PENDING
look back at sth,en,PENDING
look for sb,en,PENDING
look for sth,en,PENDING
look forward to sth,en,PENDING
look like sb,en,PENDING
look like sth,en,PENDING
look out,en,PENDING
look sth up,en,PENDING
lots of…,en,PENDING
make a difference,en,PENDING
make a mistake,en,PENDING
make money,en,PENDING
make sense,en,PENDING
make sth up,en,PENDING
make sure,en,PENDING
manage to do sth,en,PENDING
may well,en,PENDING
mean to do sth,en,PENDING
mental health,en,PENDING
millions of…,en,PENDING
mobile phone,en,PENDING
more and more,en,PENDING
more or less,en,PENDING
